stop,key,name,kind,group,lat,lng,confidence,blurb,note
1,lot414,Lot 414 · River Road Arrival,ROUTE,,30.409712,-91.194771,derived,Recruit families arrive off River Road and park. Have the gameday logistics graphic ready at the entrance.,2026 LSU Pregame Parking Map confirms Lot 414 on River Road. Coordinate retained as a map-derived lot point; exact parking stall/entrance is not publicly specified.
2,bus,Board the Charter Bus,ROUTE,,30.410365,-91.195431,derived,"Buses are parked in the lot. Once you park, walk over and board. Staff will point the way.",2026 LSU gameday policy designates Lot 412—not Lot 414—for bus/limousine parking and passenger loading/unloading. Coordinate retained as a map-derived Lot 412-area point; exact bus stall is not publicly specified.
3,ops,Football Operations Facility,FACILITY,ops,30.41093,-91.188749,derived,Arrival point for the visit. Home base before the walk to the stadium.,"Updated to the published building-level coordinate for the LSU Football Operations Center. Official LSU sources confirm the facility is on Skip Bertman Drive; this is a building point, not a specific interior room."
4,tailgate,Tiger Tailgate · Indoors,FACILITY,ops,30.41093,-91.188749,pending,"Indoor tailgate. Walk-On's catering, video games, facility tour, former players.",Fallback pin updated to the Football Operations Center building coordinate. I cannot verify the exact indoor Tiger Tailgate room from public LSU/Google-accessible sources; current itinerary or floor plan is needed for room-level placement.
5,registration,Registration,FACILITY,ops,30.41093,-91.188749,pending,Recruit check in. Arrival time is printed on the gameday logistics graphic.,Fallback pin updated to the Football Operations Center building coordinate. I cannot verify the exact recruiting registration room from current public sources; current itinerary or floor plan is needed for room-level placement.
6,tigerwalk,Tiger Walk · Victory Hill,ROUTE,,30.414066667,-91.182733333,derived,"The team, spirit squad and band come down Victory Hill along North Stadium Drive.","Updated to the documented Tiger Walk at Victory Hill marker/top intersection at North Stadium Drive and Fieldhouse Drive. LSU describes the team drop at the top of Victory Hill between the Academic Center and Journalism Building. This pin represents the top/marker, not the full walking route or a confirmed guest drop point."
7,lawton,Lawton Room,FACILITY,stadium,30.4128647,-91.1851349,derived,"Northwest corner of Tiger Stadium at Gate 7. Staff remarks, halftime meal, open all game.","Updated to the best public coordinate for the Bill Lawton Room. LSU officially confirms the room is at Tiger Stadium’s northwest corner and its entrance is near Gate 7; the exact coordinate comes from an unverified venue listing, so the room centroid cannot be independently verified."
8,fieldlevel,Field Level Warmups,FACILITY,stadium,30.412035,-91.183816,pending,Field level access to watch pregame warmups from behind the designated lines.,"Retained as a stadium/field fallback. I cannot verify the exact recruit field-level warmup viewing line, gate, or tunnel from current public sources, so a more specific interior pin would be a guess."
9,kickoff,Kickoff · Death Valley,FACILITY,stadium,30.412035,-91.183816,verified,Saturday night in Tiger Stadium.,Retained at the established Tiger Stadium field/venue center coordinate.
10,postgame,Postgame · Nicholson Gateway,ROUTE,,30.41273,-91.18734,pending,Buses stage in front of Matherne's Market and Torchy's. Walk North Stadium Dr and cross Nicholson.,"Retained pending event-specific confirmation. Public sources confirm Nicholson Gateway businesses in this area, but LSU’s current standard gameday policy says buses/limousines park and passenger pickup occurs in Lot 412. A special recruiting-event exception at Nicholson Gateway cannot be verified publicly."
